,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,hour,weekend,weekday
33851,40.751999999999995,-73.993,40.742,-73.97800000000002,7,1,1
7594,40.719,-73.98899999999998,40.687,-73.98899999999998,2,1,1
50176,40.745,-73.928,40.745,-73.928,3,1,1
34052,40.745,-74.006,40.755,-73.977,8,1,1
11188,40.792,-73.97399999999998,40.793,-73.964,8,1,1
26503,40.725,-73.984,40.724000000000004,-73.99600000000002,21,1,1
760,40.762,-73.969,40.694,-73.982,19,1,1
41753,40.779,-73.97800000000002,40.687,-74.0,16,1,1
2,40.835,-73.944,40.743,-74.006,11,1,1
35011,40.764,-73.986,40.798,-73.962,18,1,1
4852,40.784,-73.97,40.795,-73.973,19,1,1
15344,40.783,-73.977,40.79,-73.977,11,1,1
28201,40.735,-73.99,40.647,-73.789,15,1,1
19258,40.760999999999996,-73.976,40.766999999999996,-73.97800000000002,15,1,1
10665,40.74800000000001,-73.987,40.747,-73.984,0,1,1
3843,40.743,-73.98899999999998,40.756,-73.991,17,2,2
23407,40.782,-73.952,40.753,-74.00399999999998,12,1,1
45980,40.77,-73.96300000000002,40.742,-74.001,10,1,1
39015,40.754,-73.99,40.766,-73.955,21,1,1
28863,40.67,-73.945,40.664,-73.943,23,1,1
45644,40.777,-73.955,40.768,-73.957,10,1,1
60952,40.76,-73.983,40.723,-73.991,21,1,1
4518,40.794000000000004,-73.973,40.8,-73.968,10,1,1
43279,40.708,-74.017,40.762,-73.97800000000002,9,1,1
51176,40.746,-73.97800000000002,40.768,-73.99600000000002,8,1,1
26626,40.742,-73.99,40.751999999999995,-73.976,15,1,1
54564,40.759,-73.99600000000002,40.751,-73.976,17,1,1
25649,40.791,-73.969,40.806999999999995,-73.961,9,1,1
23480,40.773,-73.955,40.758,-73.97800000000002,10,1,1
1461,40.765,-73.97,40.795,-73.95,23,1,1
19938,40.721,-74.009,40.711,-74.016,17,1,1
30316,40.779,-73.954,40.774,-73.977,16,1,1
38881,40.764,-73.973,40.78,-73.982,17,1,1
58986,40.74,-73.976,40.751,-73.98100000000002,8,1,1
37283,40.756,-73.99,40.76300000000001,-73.982,9,1,1
42135,40.757,-73.97399999999998,40.762,-73.982,11,1,1
44669,40.749,-73.992,40.742,-73.99,16,1,1
31980,40.74,-74.006,40.74800000000001,-73.988,1,1,1
59919,40.760999999999996,-73.986,40.779,-73.977,2,1,1
39392,40.755,-73.991,40.76300000000001,-73.986,17,1,1
46136,40.724000000000004,-73.998,40.717,-74.00399999999998,19,1,1
11359,40.71,-74.016,40.735,-73.992,18,1,1
33088,40.74,-73.976,40.746,-73.98100000000002,8,1,1
3347,40.764,-73.971,40.744,-73.988,17,1,1
14423,40.729,-73.992,40.724000000000004,-73.986,22,1,1
8898,40.755,-73.97399999999998,40.74,-74.005,20,1,1
4582,40.76300000000001,-73.997,40.781,-73.98,14,1,1
1716,40.764,-73.99,40.75,-73.976,19,1,1
32207,40.78,-73.955,40.76300000000001,-73.968,14,1,1
25049,40.774,-73.875,40.742,-74.00399999999998,12,1,1
39889,40.784,-73.955,40.775999999999996,-73.958,18,1,1
22124,40.719,-74.00399999999998,40.73,-74.009,1,1,1
42377,40.757,-73.97,40.751,-73.94,3,1,1
50527,40.759,-73.975,40.773,-73.982,14,1,1
49759,40.764,-73.985,40.755,-73.994,20,1,1
38585,40.715,-74.002,40.723,-74.003,17,1,1
21797,40.751999999999995,-73.976,40.741,-73.985,8,2,2
28766,40.771,-73.866,40.74,-73.982,20,1,1
60599,40.745,-73.999,40.765,-73.983,21,1,1
59327,40.744,-73.972,40.76300000000001,-73.968,8,1,1
48650,40.778,-73.954,40.784,-73.956,14,1,1
40239,40.724000000000004,-73.979,40.768,-73.955,22,1,1
19113,40.775999999999996,-73.96300000000002,40.788000000000004,-73.97,18,1,1
32005,40.782,-73.983,40.755,-73.98,18,1,1
36605,40.743,-73.988,40.747,-73.998,18,1,1
35062,40.75,-73.977,40.759,-73.975,12,1,1
28460,40.76300000000001,-73.972,40.766,-73.955,13,1,1
22860,40.777,-73.946,40.77,-73.95100000000002,16,1,1
15951,40.747,-73.985,40.745,-73.905,2,1,1
49558,40.743,-73.993,40.751999999999995,-73.986,8,1,1
16232,40.762,-73.99,40.746,-74.002,11,1,1
60208,40.766,-73.983,40.766,-73.961,14,1,1
41063,40.779,-73.95100000000002,40.772,-73.956,17,2,2
23299,40.747,-73.982,40.75,-73.991,10,1,1
41091,40.758,-73.96600000000002,40.742,-73.991,12,1,1
22960,40.711,-74.01100000000002,40.766999999999996,-73.954,14,1,1
55236,40.745,-73.998,40.736999999999995,-74.001,18,1,1
21801,40.71,-74.01100000000002,40.714,-73.99,15,1,1
687,40.749,-73.979,40.71,-74.01,13,1,1
30845,40.775,-73.982,40.766,-73.987,21,1,1
51186,40.75,-73.987,40.71,-74.016,15,1,1
56300,40.733000000000004,-73.997,40.74800000000001,-73.976,22,1,1
27217,40.772,-73.956,40.754,-73.976,6,1,1
16950,40.782,-73.98100000000002,40.792,-73.969,19,1,1
52598,40.719,-73.98899999999998,40.705,-74.009,5,1,1
23670,40.789,-73.955,40.792,-73.964,6,1,1
7933,40.782,-73.983,40.787,-73.954,8,1,1
32664,40.707,-73.954,40.771,-73.992,5,1,1
54637,40.731,-74.007,40.74,-73.995,15,1,1
23835,40.732,-74.008,40.724000000000004,-74.0,15,1,1
24907,40.764,-73.973,40.742,-73.99600000000002,7,1,1
44902,40.709,-74.01,40.738,-73.98100000000002,22,1,1
19560,40.705,-74.009,40.726,-73.984,19,1,1
57266,40.647,-73.789,40.745,-73.997,1,1,1
49977,40.723,-74.005,40.755,-73.987,9,1,1
43500,40.727,-73.98899999999998,40.711,-74.017,21,1,1
50957,40.728,-74.003,40.708,-74.001,23,1,1
21271,40.773,-73.949,40.76,-73.98,18,1,1
2376,40.751,-73.971,40.751,-73.98100000000002,18,1,1
7866,40.742,-73.98899999999998,40.764,-73.984,19,1,1
24838,40.677,-73.959,40.685,-73.971,8,1,1
11760,40.766999999999996,-73.986,40.760999999999996,-74.0,23,1,1
52874,40.741,-73.994,40.732,-73.998,13,1,1
7807,40.696,-73.988,40.74,-73.995,8,1,1
325,40.745,-73.988,40.751,-73.979,19,1,1
29754,40.75,-73.995,40.745,-73.98100000000002,16,1,1
53476,40.751999999999995,-73.97800000000002,40.749,-73.992,15,1,1
5641,40.733000000000004,-73.988,40.738,-73.982,16,1,1
52407,40.715,-73.982,40.742,-73.97800000000002,19,1,1
60249,40.745,-73.979,40.736,-73.986,16,1,1
12155,40.74,-73.995,40.749,-73.999,10,1,1
48872,40.756,-73.964,40.772,-73.983,17,1,1
13122,40.757,-73.972,40.73,-73.993,10,1,1
56547,40.764,-73.961,40.71,-74.015,8,1,1
47753,40.749,-73.992,40.743,-73.988,14,1,1
21007,40.74,-73.995,40.751,-74.002,18,2,2
26903,40.779,-73.962,40.782,-73.98,18,1,1
30493,40.766999999999996,-73.97800000000002,40.766,-73.969,17,1,1
45779,40.751,-73.988,40.765,-73.982,21,1,1
5262,40.731,-73.992,40.751999999999995,-73.98,8,1,1
43219,40.739000000000004,-73.983,40.798,-73.934,7,1,1
41081,40.746,-73.995,40.751,-73.985,9,1,1
