,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,hour,weekend,weekday
299967,40.758,-73.992,40.75,-73.99,11,False,True
464203,40.782,-73.971,40.804,-73.942,7,False,True
213949,40.746,-73.983,40.744,-73.981,6,False,True
139599,40.738,-74.007,40.642,-73.777,6,False,True
289553,40.755,-73.971,40.756,-73.972,20,False,True
213715,40.746,-73.983,40.738,-74.008,8,False,True
296668,40.758,-74.001,40.765,-73.984,16,False,True
146107,40.738,-73.998,40.759,-74.005,17,False,True
143799,40.738,-74.001,40.711,-73.948,15,True,False
473209,40.785,-73.974,40.78,-73.978,14,False,True
124197,40.735,-74.007,40.726,-73.987,21,False,True
454139,40.779,-73.956,40.759,-73.981,7,False,True
363168,40.764,-73.971,40.75,-73.984,19,True,False
449690,40.779,-73.977,40.771,-73.984,20,True,False
337948,40.761,-73.974,40.735,-73.993,19,False,True
143212,40.738,-74.004,40.756,-73.972,22,False,True
470794,40.785,-73.98,40.789,-73.975,11,True,False
476455,40.785,-73.953,40.789,-73.954,1,True,False
166460,40.741,-73.995,40.744,-73.996,10,False,True
192558,40.744,-73.983,40.699,-74.011,10,False,True
133008,40.735,-73.989,40.705,-73.957,12,False,True
485105,40.791,-73.971,40.789,-73.942,4,False,True
252647,40.752,-73.989,40.717,-74.011,12,True,False
199964,40.744,-73.924,40.729,-73.984,7,False,True
134446,40.735,-73.989,40.768,-73.864,12,False,True
503025,40.824,-73.953,40.843,-73.942,3,True,False
66758,40.723,-74.001,40.672,-73.975,21,False,True
274707,40.755,-73.992,40.768,-73.96,20,False,True
19665,40.702,-74.01,40.741,-73.957,22,False,True
177449,40.741,-73.977,40.753,-73.966,7,False,True
43481,40.717,-74.007,40.732,-74.008,7,False,True
105660,40.729,-73.98,40.735,-73.987,19,False,True
150018,40.738,-73.992,40.777,-73.951,13,False,True
412314,40.773,-73.983,40.756,-73.975,22,False,True
47434,40.717,-73.992,40.726,-73.954,1,False,True
10791,40.654,-73.796,40.654,-73.795,21,False,True
149990,40.738,-73.992,40.774,-73.876,10,False,True
218863,40.746,-73.974,40.747,-73.99,22,False,True
425525,40.773,-73.876,40.714,-73.837,21,False,True
453450,40.779,-73.959,40.795,-73.948,7,False,True
143953,40.738,-74.001,40.72,-73.984,22,False,True
164373,40.741,-73.998,40.729,-74.005,8,False,True
433472,40.776,-73.983,40.789,-73.972,19,False,True
50750,40.72,-74.013,40.705,-74.017,1,False,True
83880,40.726,-73.995,40.735,-74.005,15,False,True
467974,40.782,-73.953,40.804,-73.966,12,False,True
44664,40.717,-74.001,40.684,-73.942,0,False,True
500711,40.809,-73.953,40.774,-73.936,23,False,True
480284,40.788,-73.971,40.774,-73.963,10,False,True
189577,40.744,-73.989,40.756,-73.999,1,False,True
93875,40.729,-74.004,40.726,-73.99,19,False,True
173069,40.741,-73.986,40.783,-73.972,22,False,True
175497,40.741,-73.98,40.726,-73.987,18,False,True
224256,40.749,-73.995,40.702,-74.017,8,False,True
211727,40.746,-73.986,40.741,-74.005,12,False,True
235272,40.749,-73.986,40.741,-73.99,14,False,True
424964,40.773,-73.945,40.777,-73.966,9,False,True
469393,40.782,-73.947,40.777,-73.954,1,True,False
273979,40.755,-73.992,40.759,-73.981,6,False,True
74515,40.723,-73.986,40.72,-73.951,23,False,True
464477,40.782,-73.959,40.747,-73.993,17,True,False
391710,40.767,-73.864,40.765,-73.867,15,True,False
